0,0,2,4,6,8,10,0,12,14
16,0,18,20,22,24,26,0,28,30
32,0,34,36,38,40,42,0,44,46
48,0,50,52,54,56,58,0,60,62
64,0,66,68,70,72,74,0,76,78
80,0,82,84,86,88,90,0,92,94
96,0,98,100,102,104,106,0,108,110
112,0,114,116,118,120,122,0,124,126
128,0,130,132,134,136,138,0,140,142
144,0,146,148,150,152,154,0,156,158
160,0,162,164,166,168,170,0,172,174
176,0,178,180,182,184,186,0,188,190
192,0,194,196,198,200,202,0,204,206
208,0,210,212,214,216,218,0,220,222
224,0,226,228,230,232,234,0,236,238
240,0,242,244,246,248,250,0,252,254
256,0,258,260,262,264,266,0,268,270
272,0,274,276,278,280,282,0,284,286
288,0,290,292,294,296,298,0,300,302
304,0,306,308,310,312,314,0,316,318
320,0,322,324,326,328,330,0,332,334
336,0,338,340,342,344,346,0,348,350
352,0,354,356,358,360,362,0,364,366
368,0,370,372,374,376,378,0,380,382
384,0,386,388,390,392,394,0,396,398
400,0,402,404,406,408,410,0,412,414
416,0,418,420,422,424,426,0,428,430
432,0,434,436,438,440,442,0,444,446
448,0,450,452,454,456,458,0,460,462
464,0,466,468,470,472,474,0,476,478
480,0,482,484,486,488,490,0,492,494
496,0,498,500,502,504,506,0,508,510
512,0,514,516,518,520,522,0,524,526
528,0,530,532,534,536,538,0,540,542
544,0,546,548,550,552,554,0,556,558
560,0,562,564,566,568,570,0,572,574
576,0,578,580,582,584,586,0,588,590
592,0,594,596,598,600,602,0,604,606
608,0,610,612,614,616,618,0,620,622
624,0,626,628,630,632,634,0,636,638
640,0,642,644,646,648,650,0,652,654
656,0,658,660,662,664,666,0,668,670
672,0,674,676,678,680,682,0,684,686
688,0,690,692,694,696,698,0,700,702
704,0,706,708,710,712,714,0,716,718
720,0,722,724,726,728,730,0,732,734
736,0,738,740,742,744,746,0,748,750
752,0,754,756,758,760,762,0,764,766
768,0,770,772,774,776,778,0,780,782
784,0,786,788,790,792,794,0,796,798
800,0,802,804,806,808,810,0,812,814
816,0,818,820,822,824,826,0,828,830
832,0,834,836,838,840,842,0,844,846
848,0,850,852,854,856,858,0,860,862
864,0,866,868,870,872,874,0,876,878
880,0,882,884,886,888,890,0,892,894
896,0,898,900,902,904,906,0,908,910
912,0,914,916,918,920,922,0,924,926
913,0,915,917,919,921,923,0,925,927
897,0,899,901,903,905,907,0,909,911
881,0,883,885,887,889,891,0,893,895
865,0,867,869,871,873,875,0,877,879
849,0,851,853,855,857,859,0,861,863
833,0,835,837,839,841,843,0,845,847
817,0,819,821,823,825,827,0,829,831
801,0,803,805,807,809,811,0,813,815
785,0,787,789,791,793,795,0,797,799
769,0,771,773,775,777,779,0,781,783
753,0,755,757,759,761,763,0,765,767
737,0,739,741,743,745,747,0,749,751
721,0,723,725,727,729,731,0,733,735
705,0,707,709,711,713,715,0,717,719
689,0,691,693,695,697,699,0,701,703
673,0,675,677,679,681,683,0,685,687
657,0,659,661,663,665,667,0,669,671
641,0,643,645,647,649,651,0,653,655
625,0,627,629,631,633,635,0,637,639
609,0,611,613,615,617,619,0,621,623
593,0,595,597,599,601,603,0,605,607
577,0,579,581,583,585,587,0,589,591
561,0,563,565,567,569,571,0,573,575
545,0,547,549,551,553,555,0,557,559
529,0,531,533,535,537,539,0,541,543
513,0,515,517,519,521,523,0,525,527
497,0,499,501,503,505,507,0,509,511
481,0,483,485,487,489,491,0,493,495
465,0,467,469,471,473,475,0,477,479
449,0,451,453,455,457,459,0,461,463
433,0,435,437,439,441,443,0,445,447
417,0,419,421,423,425,427,0,429,431
401,0,403,405,407,409,411,0,413,415
385,0,387,389,391,393,395,0,397,399
369,0,371,373,375,377,379,0,381,383
353,0,355,357,359,361,363,0,365,367
337,0,339,341,343,345,347,0,349,351
321,0,323,325,327,329,331,0,333,335
305,0,307,309,311,313,315,0,317,319
289,0,291,293,295,297,299,0,301,303
273,0,275,277,279,281,283,0,285,287
257,0,259,261,263,265,267,0,269,271
241,0,243,245,247,249,251,0,253,255
225,0,227,229,231,233,235,0,237,239
209,0,211,213,215,217,219,0,221,223
193,0,195,197,199,201,203,0,205,207
177,0,179,181,183,185,187,0,189,191
161,0,163,165,167,169,171,0,173,175
145,0,147,149,151,153,155,0,157,159
129,0,131,133,135,137,139,0,141,143
113,0,115,117,119,121,123,0,125,127
97,0,99,101,103,105,107,0,109,111
81,0,83,85,87,89,91,0,93,95
65,0,67,69,71,73,75,0,77,79
49,0,51,53,55,57,59,0,61,63
33,0,35,37,39,41,43,0,45,47
17,0,19,21,23,25,27,0,29,31
1,0,3,5,7,9,11,0,13,15
